#{"t_start": 1787011359.127397, "env_id": "Humanoid-v4"}
r,l,t
392.930415,73,687.614765
582.50438,111,689.296265
650.109729,131,691.271978
271.671058,61,692.212461
607.443567,121,694.048548
490.71697,89,695.399931
475.336682,87,696.720396
348.884527,68,697.755626
478.517137,87,699.072103
611.828418,112,700.767565
456.735269,94,702.194746
445.674151,96,703.650849
254.499878,54,704.475641
424.359509,84,705.761201
524.954696,97,707.23027
418.000945,78,708.435045
204.523604,41,709.057379
389.616967,79,710.258166
403.384143,85,711.543726
244.113368,49,712.289729
352.248519,67,713.304014
314.684598,72,714.395094
407.82786,87,715.730521
558.517097,108,717.390079
407.989254,77,718.556956
350.274634,80,719.7737
305.511922,66,720.779009
385.431021,73,721.887044
584.163977,99,723.390022
502.729596,99,724.907959
327.606934,62,725.848442
304.572532,62,726.795907
544.380676,111,728.476409
405.572991,75,729.621345
356.323735,77,730.791214
367.904956,79,732.026907
457.071509,90,733.39724
583.839105,114,735.128606
519.593196,109,736.787168
366.38647,68,737.816413
415.901474,82,739.076042
496.150121,100,740.63487
353.084801,69,741.697027
600.775779,104,743.294752
541.419874,105,744.888486
434.470982,94,746.317661
425.514879,84,747.598234
472.505372,93,749.005468
490.681891,90,750.374804
427.021264,84,751.651387
563.808084,108,753.29798
652.932214,125,755.195901
598.747579,113,756.904329
564.085903,117,758.691546
244.590394,55,759.528306
390.95806,72,760.614399
507.077921,97,762.087458
460.120201,94,763.505662
472.189612,92,764.906912
472.037709,85,766.198455
297.650348,63,767.154895
570.585377,105,768.751622
667.032115,116,770.540834
256.904983,50,771.3008
486.179202,96,772.748924
313.637297,68,773.783157
542.264824,101,775.318049
516.39428,98,776.805069
447.441984,82,778.048741
445.682317,82,779.287426
428.037897,82,780.522121
857.181063,154,782.849892
486.777198,86,784.153403
466.305106,107,785.798999
640.099219,114,787.524382
412.058274,77,788.706218
338.235102,77,789.880077
538.996016,101,791.418959
359.673612,72,792.524999
481.602593,91,793.913283
329.327334,63,794.865734
629.620387,123,796.728748
685.019207,120,798.561842
446.40895,84,799.845407
436.839956,77,801.053175
1012.943636,182,803.840715
711.323457,132,805.855323
487.655685,90,807.223661
356.02963,72,808.316736
374.590171,82,809.567389
452.034814,98,811.06538
556.567861,104,812.643157
330.458193,78,813.836962
496.11277,103,815.423716
304.480392,70,816.489862
507.280564,103,818.059661
